GitHubProject,NuGetPreview,Stars
"[robinrodricks/FluentFTP](https://www.github.com/robinrodricks/FluentFTP#readme)","[Preview](https://dev.nugettest.org/packages/loic.robinrodricks.FluentFTP?preview=1#show-readme-container)",1790
"[Facepunch/Facepunch.Steamworks](https://www.github.com/Facepunch/Facepunch.Steamworks#readme)","[Preview](https://dev.nugettest.org/packages/loic.Facepunch.Facepunch.Steamworks?preview=1#show-readme-container)",1772
"[GhostPack/Seatbelt](https://www.github.com/GhostPack/Seatbelt#readme)","[Preview](https://dev.nugettest.org/packages/loic.GhostPack.Seatbelt?preview=1#show-readme-container)",1753
"[Unity-Technologies/arfoundation-samples](https://www.github.com/Unity-Technologies/arfoundation-samples#readme)","[Preview](https://dev.nugettest.org/packages/loic.Unity-Technologies.arfoundation-samples?preview=1#show-readme-container)",1753
"[filipw/dotnet-script](https://www.github.com/filipw/dotnet-script#readme)","[Preview](https://dev.nugettest.org/packages/loic.filipw.dotnet-script?preview=1#show-readme-container)",1742
"[zzzprojects/EntityFramework-Plus](https://www.github.com/zzzprojects/EntityFramework-Plus#readme)","[Preview](https://dev.nugettest.org/packages/loic.zzzprojects.EntityFramework-Plus?preview=1#show-readme-container)",1728
"[MapsterMapper/Mapster](https://www.github.com/MapsterMapper/Mapster#readme)","[Preview](https://dev.nugettest.org/packages/loic.MapsterMapper.Mapster?preview=1#show-readme-container)",1694
"[dotnet/spark](https://www.github.com/dotnet/spark#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.spark?preview=1#show-readme-container)",1668
"[mob-sakai/ParticleEffectForUGUI](https://www.github.com/mob-sakai/ParticleEffectForUGUI#readme)","[Preview](https://dev.nugettest.org/packages/loic.mob-sakai.ParticleEffectForUGUI?preview=1#show-readme-container)",1661
"[2881099/csredis](https://www.github.com/2881099/csredis#readme)","[Preview](https://dev.nugettest.org/packages/loic.2881099.csredis?preview=1#show-readme-container)",1659
"[jwt-dotnet/jwt](https://www.github.com/jwt-dotnet/jwt#readme)","[Preview](https://dev.nugettest.org/packages/loic.jwt-dotnet.jwt?preview=1#show-readme-container)",1621
"[xamarin/xamarin-android](https://www.github.com/xamarin/xamarin-android#readme)","[Preview](https://dev.nugettest.org/packages/loic.xamarin.xamarin-android?preview=1#show-readme-container)",1601
"[Azure/azure-functions-host](https://www.github.com/Azure/azure-functions-host#readme)","[Preview](https://dev.nugettest.org/packages/loic.Azure.azure-functions-host?preview=1#show-readme-container)",1584
"[JasperFx/marten](https://www.github.com/JasperFx/marten#readme)","[Preview](https://dev.nugettest.org/packages/loic.JasperFx.marten?preview=1#show-readme-container)",1542
"[dotnetcore/WebApiClient](https://www.github.com/dotnetcore/WebApiClient#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.WebApiClient?preview=1#show-readme-container)",1534
"[GhostPack/Rubeus](https://www.github.com/GhostPack/Rubeus#readme)","[Preview](https://dev.nugettest.org/packages/loic.GhostPack.Rubeus?preview=1#show-readme-container)",1532
"[thepirat000/Audit.NET](https://www.github.com/thepirat000/Audit.NET#readme)","[Preview](https://dev.nugettest.org/packages/loic.thepirat000.Audit.NET?preview=1#show-readme-container)",1529
"[DbUp/DbUp](https://www.github.com/DbUp/DbUp#readme)","[Preview](https://dev.nugettest.org/packages/loic.DbUp.DbUp?preview=1#show-readme-container)",1529
"[praeclarum/Ooui](https://www.github.com/praeclarum/Ooui#readme)","[Preview](https://dev.nugettest.org/packages/loic.praeclarum.Ooui?preview=1#show-readme-container)",1513
"[Squidex/squidex](https://www.github.com/Squidex/squidex#readme)","[Preview](https://dev.nugettest.org/packages/loic.Squidex.squidex?preview=1#show-readme-container)",1509
"[aaubry/YamlDotNet](https://www.github.com/aaubry/YamlDotNet#readme)","[Preview](https://dev.nugettest.org/packages/loic.aaubry.YamlDotNet?preview=1#show-readme-container)",1502
